Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
1997,6.3,21.0,0,0,0,1
2014,7.8,13.0,0,1,0,0
2016,6.9,50.0,1,0,0,0
2017,8.1,39.0,0,1,0,0
2021,8.5,95.0,0,0,0,1
2018,8.1,10.0,0,0,0,1
2021,7.6,62.0,1,0,0,0
2013,5.2,66.0,0,1,0,0
2012,7.8,52.0,0,0,1,0
2019,7.7,60.0,1,0,0,0
2005,6.2,52.0,0,1,0,0
2017,4.2,10.0,0,0,1,0
1981,8.1,64.0,0,1,0,0
2015,7.7,56.0,0,0,1,0
2018,7.6,52.0,0,1,1,0
2016,3.7,36.0,1,0,0,0
2020,6.8,50.0,1,0,0,0
2016,6.5,38.0,1,0,0,0
2017,6.7,27.0,0,0,1,0
2015,6.2,13.0,0,0,1,0
2015,8.3,83.0,1,0,0,0
2014,8.9,10.0,0,0,1,0
2018,7.3,29.0,0,1,0,0
1979,5.8,44.0,0,0,0,1
2014,8.6,55.0,1,0,0,0
2016,7.0,35.0,1,0,0,0
2018,7.7,85.0,1,0,0,0
2017,6.5,63.0,0,1,0,0
2014,6.4,59.0,0,1,0,0
2006,7.7,56.0,0,1,0,0
2015,7.7,72.0,1,0,0,0
2015,7.0,39.0,0,1,0,0
2016,7.9,13.0,0,0,1,0
2014,7.7,33.0,0,0,1,0
2020,6.1,57.0,0,0,1,0
2020,7.8,47.0,1,0,0,0
2016,7.7,13.0,0,0,1,0
2017,7.6,70.0,1,0,0,0
2016,6.5,45.0,0,1,0,0
1961,8.3,63.0,0,1,0,0
2016,3.3,32.0,1,0,0,0
2019,5.9,42.0,0,1,0,0
2009,5.5,38.0,0,0,1,0
2006,5.2,61.0,0,0,0,1
2017,6.8,63.0,1,0,0,0
2018,8.1,52.0,1,0,0,0
2020,3.9,36.0,0,0,1,0
2016,6.1,28.0,0,0,1,0
2014,7.7,17.0,0,0,1,0
2017,6.2,18.0,0,1,0,0
2017,7.9,13.0,0,0,1,0
2021,8.5,66.0,1,0,0,0
2021,9.1,65.0,1,0,0,0
2019,8.0,87.0,1,0,0,0
2017,6.4,13.0,0,0,1,0
2011,7.6,50.0,0,1,0,0
2014,8.6,49.0,0,1,0,0
2010,4.8,51.0,0,0,0,1
2012,6.6,59.0,0,0,0,1
1996,8.2,14.0,0,0,1,0
2016,7.8,39.0,0,0,1,0
2021,7.0,60.0,1,0,0,0
2010,5.2,26.0,0,0,1,0
2017,8.1,13.0,0,0,1,0
2018,7.1,67.0,0,1,0,0
2010,6.9,42.0,1,0,0,0
2016,7.6,46.0,1,0,0,0
2021,6.7,50.0,0,0,1,0
2020,7.6,55.0,0,0,1,0
2019,6.5,44.0,1,0,0,0
2011,7.8,47.0,0,0,1,0
2017,7.8,39.0,1,0,0,0
2014,6.6,58.0,0,1,0,0
2006,6.4,46.0,0,1,0,0
1982,7.2,64.0,0,1,0,0
2008,7.1,54.0,0,0,0,1
2018,5.9,45.0,1,0,0,0
2017,8.4,10.0,0,0,1,0
1999,4.2,47.0,0,1,0,0
2020,8.7,48.0,0,1,0,0
2009,1.8,42.0,0,1,0,0
2017,8.0,58.0,1,0,0,0
2009,7.5,53.0,1,0,0,0
1997,8.4,79.0,1,1,0,0
2019,6.8,60.0,0,1,0,0
2011,6.5,14.0,0,0,1,0
2016,8.4,90.0,0,1,0,0
2013,6.5,33.0,1,0,0,0
2004,7.6,53.0,0,0,1,0
2016,7.5,77.0,1,0,0,0
2016,6.6,54.0,0,0,1,0
2020,7.5,62.0,1,0,0,0
2012,5.0,47.0,0,0,0,1
2009,6.7,10.0,0,0,1,0
2020,5.4,43.0,1,0,0,0
2016,5.5,10.0,0,0,1,0
2019,8.5,71.0,1,0,0,0
2016,7.2,58.0,0,1,0,0
2018,7.2,56.0,1,0,0,0
2002,7.5,31.0,1,0,0,0
2012,7.5,55.0,0,1,0,0
2016,7.2,10.0,0,0,1,0
2021,7.2,54.0,1,0,0,0
2019,8.2,46.0,0,0,0,1
2017,5.6,47.0,0,1,0,0
2005,5.1,41.0,0,0,1,0
2008,7.4,57.0,0,1,0,0
2016,7.9,55.0,1,0,0,0
2017,7.3,44.0,1,0,0,0
2011,7.9,37.0,0,0,1,0
2021,7.5,63.0,0,0,0,1
