Year,IMDb,Rotten_Tomatoes,Year.1,IMDb.1,Rotten_Tomatoes.1,Netflix,Hulu,Prime Video,Disney+
0.0512820512820512,0.6705882352941176,0.0,8,6.8,10.0,0,0,1,0
0.017094017094017,0.8941176470588235,0.5777777777777777,4,8.7,62.0,1,0,0,0
0.0341880341880341,0.6470588235294117,0.0333333333333333,6,6.6,13.0,0,0,1,0
0.0512820512820512,0.8941176470588235,0.0,8,8.7,10.0,0,1,0,0
0.0256410256410256,0.7176470588235294,0.5777777777777777,5,7.2,62.0,1,0,0,0
0.0256410256410256,0.5764705882352941,0.0,5,6.0,10.0,0,0,1,0
0.017094017094017,0.4941176470588235,0.2666666666666666,4,5.3,34.0,1,0,0,0
0.0683760683760683,0.788235294117647,0.3,10,7.8,37.0,0,0,1,0
0.2393162393162393,0.788235294117647,0.6333333333333333,30,7.8,67.0,0,1,0,0
0.0085470085470085,0.6,0.4111111111111111,3,6.2,47.0,1,0,0,0
0.0341880341880341,0.4823529411764706,0.2666666666666666,6,5.2,34.0,0,0,1,0
0.0341880341880341,0.6823529411764706,0.3666666666666667,6,6.9,43.0,1,0,0,0
0.0512820512820512,0.6705882352941176,0.3555555555555555,8,6.8,42.0,1,0,0,0
0.0256410256410256,0.6588235294117647,0.4222222222222222,5,6.7,48.0,1,0,0,0
0.1538461538461538,0.4588235294117647,0.3,20,5.0,37.0,0,0,1,0
0.0598290598290598,0.8235294117647058,0.7333333333333333,9,8.1,76.0,0,1,0,0
0.0512820512820512,0.8823529411764706,0.8888888888888888,8,8.6,90.0,1,0,0,0
0.0085470085470085,0.6588235294117647,0.4666666666666667,3,6.7,52.0,1,0,0,0
0.1623931623931624,0.3529411764705882,0.4888888888888889,21,4.1,54.0,0,1,0,0
0.0256410256410256,0.8470588235294119,0.4111111111111111,5,8.3,47.0,0,0,1,0
0.0341880341880341,0.6588235294117647,0.3,6,6.7,37.0,1,0,0,0
0.0598290598290598,0.9058823529411766,0.0,9,8.8,10.0,0,0,1,0
0.0256410256410256,0.7647058823529411,0.3444444444444444,5,7.6,41.0,1,0,0,0
0.0085470085470085,0.6705882352941176,0.6333333333333333,3,6.8,67.0,0,1,0,0
0.0598290598290598,0.8,0.611111111111111,9,7.9,65.0,0,1,0,0
0.2136752136752137,0.8352941176470587,0.3888888888888889,27,8.2,45.0,0,0,1,0
0.0085470085470085,0.7529411764705882,0.4444444444444445,3,7.5,50.0,1,0,0,0
0.0,0.6235294117647059,0.5222222222222221,2,6.4,57.0,1,0,0,0
0.0427350427350427,0.6,0.6222222222222222,7,6.2,66.0,1,0,0,0
0.0598290598290598,0.3058823529411765,0.0999999999999999,9,3.7,19.0,0,1,0,0
0.017094017094017,0.7647058823529411,0.4666666666666667,4,7.6,52.0,1,0,0,0
0.0085470085470085,0.1647058823529411,0.2777777777777778,3,2.5,35.0,1,0,0,0
0.0683760683760683,0.8588235294117648,0.3555555555555555,10,8.4,42.0,0,1,0,0
0.017094017094017,0.7647058823529411,0.611111111111111,4,7.6,65.0,1,0,0,0
0.0598290598290598,0.8823529411764706,0.6555555555555556,9,8.6,69.0,0,0,1,0
0.0598290598290598,0.4470588235294118,0.2666666666666666,9,4.9,34.0,1,0,0,0
0.0256410256410256,0.7058823529411764,0.3111111111111111,5,7.1,38.0,0,0,1,0
0.0085470085470085,0.6941176470588235,0.5888888888888889,3,7.0,63.0,0,1,0,0
0.0085470085470085,0.7647058823529411,0.5111111111111111,3,7.6,56.0,1,0,0,0
0.0256410256410256,0.6235294117647059,0.0,5,6.4,10.0,0,0,1,0
0.0341880341880341,0.8941176470588235,0.0,6,8.7,10.0,0,0,1,0
0.1282051282051282,0.6941176470588235,0.5888888888888889,17,7.0,63.0,0,1,0,0
0.0256410256410256,0.7176470588235294,0.4888888888888889,5,7.2,54.0,0,1,0,0
0.0341880341880341,0.6705882352941176,0.0666666666666666,6,6.8,16.0,0,0,1,0
0.0512820512820512,0.7764705882352941,0.5,8,7.7,55.0,0,0,1,0
0.0341880341880341,0.7411764705882353,0.4000000000000001,6,7.4,46.0,0,1,0,0
0.017094017094017,0.7529411764705882,0.4111111111111111,4,7.5,47.0,1,0,0,0
0.0085470085470085,0.7176470588235294,0.4777777777777778,3,7.2,53.0,1,0,0,0
0.0256410256410256,0.7058823529411764,0.6555555555555556,5,7.1,69.0,1,0,0,0
0.0341880341880341,0.8117647058823529,0.0,6,8.0,10.0,0,0,1,0
0.2393162393162393,0.6117647058823529,0.4222222222222222,30,6.3,48.0,0,1,0,0
0.0256410256410256,0.7529411764705882,0.0,5,7.5,10.0,1,0,0,0
0.0598290598290598,0.8941176470588235,0.8444444444444444,9,8.7,86.0,1,0,0,0
