Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
8,6.8,10.0,0,0,1,0
4,8.7,62.0,1,0,0,0
6,6.6,13.0,0,0,1,0
8,8.7,10.0,0,1,0,0
5,7.2,62.0,1,0,0,0
5,6.0,10.0,0,0,1,0
4,5.3,34.0,1,0,0,0
10,7.8,37.0,0,0,1,0
30,7.8,67.0,0,1,0,0
3,6.2,47.0,1,0,0,0
6,5.2,34.0,0,0,1,0
6,6.9,43.0,1,0,0,0
8,6.8,42.0,1,0,0,0
5,6.7,48.0,1,0,0,0
20,5.0,37.0,0,0,1,0
9,8.1,76.0,0,1,0,0
8,8.6,90.0,1,0,0,0
3,6.7,52.0,1,0,0,0
21,4.1,54.0,0,1,0,0
5,8.3,47.0,0,0,1,0
6,6.7,37.0,1,0,0,0
9,8.8,10.0,0,0,1,0
5,7.6,41.0,1,0,0,0
3,6.8,67.0,0,1,0,0
9,7.9,65.0,0,1,0,0
27,8.2,45.0,0,0,1,0
3,7.5,50.0,1,0,0,0
2,6.4,57.0,1,0,0,0
7,6.2,66.0,1,0,0,0
9,3.7,19.0,0,1,0,0
4,7.6,52.0,1,0,0,0
3,2.5,35.0,1,0,0,0
10,8.4,42.0,0,1,0,0
4,7.6,65.0,1,0,0,0
9,8.6,69.0,0,0,1,0
9,4.9,34.0,1,0,0,0
5,7.1,38.0,0,0,1,0
3,7.0,63.0,0,1,0,0
3,7.6,56.0,1,0,0,0
5,6.4,10.0,0,0,1,0
6,8.7,10.0,0,0,1,0
17,7.0,63.0,0,1,0,0
5,7.2,54.0,0,1,0,0
6,6.8,16.0,0,0,1,0
8,7.7,55.0,0,0,1,0
6,7.4,46.0,0,1,0,0
4,7.5,47.0,1,0,0,0
3,7.2,53.0,1,0,0,0
5,7.1,69.0,1,0,0,0
6,8.0,10.0,0,0,1,0
30,6.3,48.0,0,1,0,0
5,7.5,10.0,1,0,0,0
9,8.7,86.0,1,0,0,0
12,7.1,70.0,0,1,0,0
7,6.4,51.0,0,0,0,1
3,7.1,58.0,1,0,0,0
6,6.6,50.0,0,0,1,0
10,6.8,16.0,1,0,0,0
14,6.1,10.0,0,0,1,0
8,7.8,58.0,0,1,0,0
13,7.6,52.0,0,1,0,0
