Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2011,7+,4.3,55.0,1,0,1,0,0
2016,,6.5,10.0,0,0,1,0,1
2019,all,6.5,39.0,1,0,0,0,0
2008,,7.3,37.0,1,0,0,0,1
2016,18+,8.4,85.0,1,0,0,0,0
2008,all,7.6,28.0,0,1,0,0,0
2021,18+,7.5,87.0,1,0,0,0,0
2019,18+,6.3,50.0,1,0,0,0,0
2020,18+,7.6,67.0,1,0,0,0,0
2002,16+,6.4,64.0,0,1,0,0,0
2002,16+,7.7,58.0,0,1,0,0,0
2017,18+,7.7,79.0,1,0,0,0,0
1985,all,6.1,49.0,0,0,0,1,0
2016,16+,7.0,52.0,0,1,0,0,0
2013,18+,7.0,48.0,0,1,0,0,0
2019,16+,6.8,55.0,0,1,0,0,0
2018,,7.1,48.0,0,0,1,0,1
2016,16+,8.0,76.0,0,1,0,0,0
2019,,5.5,29.0,1,0,0,0,1
2009,18+,8.2,81.0,0,1,0,0,0
2018,18+,7.0,35.0,1,0,0,0,0
2004,all,6.0,41.0,0,0,1,0,0
2012,,7.0,22.0,0,0,1,0,1
2018,,8.6,41.0,1,0,0,0,1
2017,,8.3,37.0,1,0,0,0,1
2020,18+,6.2,47.0,1,0,0,0,0
2018,all,5.6,36.0,1,0,0,0,0
2017,all,3.3,40.0,1,0,0,0,0
2020,,7.5,61.0,1,0,0,0,1
2012,,6.9,54.0,1,0,0,0,1
2005,,6.9,49.0,0,0,1,0,1
2018,16+,6.8,72.0,0,0,1,0,0
2019,,7.9,51.0,1,0,0,0,1
2006,16+,4.1,49.0,0,1,0,0,0
1983,all,8.1,46.0,0,0,1,0,0
2015,16+,7.6,79.0,1,0,0,0,0
2014,16+,6.7,42.0,0,1,0,0,0
2017,,6.6,13.0,0,0,1,0,1
2002,16+,8.1,54.0,0,0,1,0,0
2016,,5.5,42.0,0,1,0,0,1
2012,18+,8.3,78.0,0,1,0,0,0
2003,,6.6,14.0,0,0,1,0,1
2019,18+,7.5,64.0,1,0,0,0,0
2012,,8.4,32.0,0,1,0,0,1
2017,,6.5,10.0,0,0,1,0,1
2016,,7.8,16.0,0,1,0,0,1
2017,,7.4,14.0,0,1,0,0,1
2017,16+,8.1,70.0,1,0,0,0,0
2019,,7.7,35.0,0,0,0,1,1
2007,7+,8.6,82.0,0,1,0,0,0
2007,,6.1,40.0,1,0,0,0,1
2008,,6.7,39.0,0,0,0,1,1
2021,,7.4,45.0,0,1,0,0,1
2012,all,6.7,47.0,0,0,0,1,0
2015,7+,8.4,75.0,0,1,0,0,0
2018,18+,6.2,48.0,1,0,1,0,0
2019,18+,8.4,78.0,0,0,1,0,0
2018,16+,7.1,48.0,0,0,1,0,0
2019,18+,7.7,62.0,1,0,0,0,0
2014,16+,5.1,47.0,0,1,0,0,0
2018,18+,3.8,54.0,1,0,0,0,0
2015,,7.8,23.0,0,0,1,0,1
2016,,7.2,45.0,1,0,1,0,1
2018,,4.4,14.0,0,1,0,0,1
1998,all,7.5,48.0,0,0,0,1,0
2019,18+,6.0,47.0,1,0,0,0,0
2008,,4.3,27.0,1,0,0,0,1
2020,,7.6,61.0,1,0,0,0,1
2017,18+,7.7,65.0,1,0,0,0,0
2010,all,8.3,32.0,0,0,1,0,0
2001,all,7.6,31.0,0,0,1,0,0
2021,18+,7.1,70.0,1,0,0,0,0
2017,,8.2,21.0,0,0,1,0,1
2017,,5.5,14.0,0,1,0,0,1
2019,,4.3,34.0,1,0,1,0,1
2018,all,8.8,74.0,0,0,0,1,0
2013,,9.1,13.0,1,0,0,0,1
2019,16+,6.7,55.0,0,0,1,0,0
2014,16+,6.9,55.0,1,0,0,0,0
2018,,7.5,14.0,0,1,0,0,1
2012,,7.1,39.0,0,0,0,1,1
2017,,5.8,16.0,0,0,1,0,1
2018,16+,8.0,73.0,0,1,0,1,0
2009,16+,7.3,67.0,0,1,0,1,0
2010,7+,8.3,50.0,1,0,0,0,0
2018,,8.0,38.0,1,0,0,0,1
2006,,8.8,55.0,1,0,0,0,1
2020,,6.4,49.0,1,0,0,0,1
2016,,7.3,14.0,1,0,0,0,1
2021,,7.5,61.0,1,0,0,0,1
2017,18+,8.3,90.0,1,0,0,0,0
2008,all,7.3,59.0,0,1,0,0,0
2009,7+,8.2,67.0,0,1,0,0,0
2020,16+,6.5,61.0,0,0,1,0,0
2015,16+,3.4,42.0,0,1,0,0,0
2019,,8.1,37.0,0,0,0,1,1
2018,16+,7.7,55.0,1,0,0,0,0
2020,all,8.6,44.0,1,0,0,0,0
2015,,8.8,31.0,0,1,0,0,1
2018,,6.0,31.0,0,0,1,0,1
2014,,7.1,50.0,0,1,0,0,1
2020,18+,7.5,77.0,1,0,0,0,0
1987,all,5.7,39.0,0,0,1,0,0
1970,,6.8,14.0,0,0,1,0,1
2017,18+,7.6,79.0,1,0,0,0,0
2012,7+,6.7,50.0,0,1,0,0,0
2009,16+,6.7,76.0,1,0,1,0,0
2008,,4.6,24.0,0,0,1,0,1
2012,18+,6.0,47.0,0,1,0,0,0
2012,all,7.4,56.0,0,0,1,0,0
2013,,7.4,14.0,0,1,0,0,1
2009,,4.7,53.0,0,0,0,1,1
2010,,8.4,37.0,0,0,1,0,1
2014,,7.6,31.0,1,1,0,0,1
2021,16+,6.9,45.0,0,0,0,1,0
2014,,8.2,37.0,0,0,1,0,1
2020,16+,9.0,46.0,0,0,0,1,0
2014,,5.1,37.0,0,1,0,0,1
2015,,7.4,14.0,0,0,1,0,1
2016,7+,6.0,36.0,1,0,0,0,0
2020,7+,8.2,51.0,0,0,0,1,0
2017,,7.5,19.0,0,1,0,0,1
1961,,7.6,16.0,0,0,1,0,1
2015,all,7.2,40.0,0,1,0,0,0
2012,,6.4,29.0,0,0,1,0,1
2010,7+,6.3,57.0,0,1,1,0,0
2012,,9.0,43.0,0,1,1,0,1
2018,7+,7.8,42.0,1,0,0,0,0
2014,18+,6.9,51.0,0,1,0,0,0
2010,7+,7.0,30.0,1,0,0,0,0
2014,,5.7,40.0,0,0,1,0,1
2018,18+,5.3,46.0,1,0,0,0,0
2016,7+,5.2,37.0,0,1,0,1,0
2004,7+,5.4,42.0,0,0,1,0,0
2021,7+,8.0,49.0,1,0,0,0,0
2018,7+,7.3,66.0,0,0,1,0,0
2011,,6.5,10.0,0,1,0,0,1
2014,all,6.9,47.0,0,1,0,0,0
2015,16+,7.4,75.0,0,1,0,0,0
2020,,4.4,36.0,1,0,0,0,1
1969,all,6.7,63.0,0,1,0,0,0
2001,7+,7.0,56.0,0,0,1,0,0
2014,,4.5,10.0,0,0,1,0,1
2017,18+,6.6,66.0,0,1,0,0,0
2014,all,5.7,61.0,1,0,0,0,0
2017,,7.1,38.0,0,1,0,0,1
2012,,7.7,10.0,0,0,1,0,1
2018,7+,7.2,63.0,1,0,0,0,0
2019,18+,6.8,74.0,1,0,0,0,0
2018,,7.1,36.0,0,0,1,0,1
2012,,8.1,56.0,1,0,0,0,1
1994,all,7.8,62.0,1,0,0,0,0
2019,18+,6.4,50.0,0,1,0,0,0
2018,18+,8.6,55.0,1,0,0,0,0
2018,all,7.6,45.0,0,1,0,0,0
2018,18+,7.8,68.0,0,0,1,0,0
2017,,6.3,14.0,0,0,1,0,1
1998,16+,7.0,49.0,0,1,0,0,0
2012,,7.1,47.0,0,0,1,0,1
2020,7+,8.0,65.0,1,0,0,0,0
2014,16+,8.1,59.0,0,1,0,0,0
2015,16+,7.4,64.0,1,1,0,0,0
2013,16+,7.5,62.0,1,0,0,0,0
2019,,7.7,47.0,1,1,0,0,1
2016,,7.4,38.0,0,0,1,0,1
2017,,9.2,20.0,1,0,0,0,1
2018,,7.6,66.0,0,1,0,0,1
1988,18+,8.3,55.0,0,0,1,0,0
2020,7+,7.2,43.0,0,0,0,1,0
2011,,8.5,41.0,1,0,0,0,1
2017,16+,7.9,72.0,0,1,0,0,0
2018,16+,7.5,72.0,1,0,0,0,0
2009,7+,8.8,62.0,0,1,1,0,0
2018,,6.5,10.0,0,0,1,0,1
2005,all,7.4,31.0,0,0,1,0,0
2014,16+,6.8,50.0,1,0,0,0,0
2019,16+,7.8,49.0,0,0,1,0,0
2019,18+,8.0,76.0,0,1,0,0,0
2019,18+,6.2,44.0,1,0,1,0,0
2013,16+,7.2,71.0,1,1,0,0,0
2020,7+,4.1,37.0,0,1,0,0,0
2002,16+,8.2,53.0,0,0,1,0,0
2015,16+,7.4,56.0,0,1,0,0,0
2017,18+,8.6,66.0,1,0,0,0,0
2020,18+,7.9,40.0,1,0,0,0,0
2017,,6.6,37.0,1,0,0,0,1
2015,18+,7.1,68.0,0,0,1,0,0
2008,,8.0,36.0,0,0,1,0,1
2017,,8.3,10.0,0,0,1,0,1
2000,all,4.2,55.0,0,0,1,0,0
2015,18+,7.0,43.0,1,0,0,0,0
2021,7+,7.5,71.0,0,0,0,1,0
2017,18+,7.4,67.0,1,0,0,0,0
2016,16+,7.7,63.0,1,0,0,0,0
2000,all,6.3,42.0,0,0,0,1,0
2013,16+,8.4,76.0,0,1,0,0,0
2015,,7.5,39.0,0,0,0,1,1
2019,18+,5.6,40.0,1,0,0,0,0
2020,,7.3,35.0,0,0,0,1,1
2012,,6.6,36.0,0,0,1,0,1
2008,all,7.2,33.0,0,1,0,0,0
1997,7+,7.5,73.0,1,1,1,0,0
2019,18+,7.5,63.0,1,0,0,0,0
2021,all,6.9,45.0,0,0,0,1,0
2019,7+,8.4,36.0,1,0,0,0,0
2020,7+,5.8,49.0,0,1,0,0,0
2013,,7.9,13.0,0,0,1,0,1
2012,7+,6.2,59.0,0,1,0,0,0
2014,7+,6.9,52.0,0,0,1,0,0
2016,16+,7.7,49.0,0,0,1,0,0
2015,,7.2,42.0,0,0,1,0,1
2017,,2.3,10.0,0,0,1,0,1
2017,18+,8.7,86.0,0,0,1,0,0
2016,16+,8.4,57.0,1,0,0,0,0
2012,,5.7,14.0,0,1,1,0,1
2012,18+,7.6,67.0,0,1,0,0,0
2018,18+,5.5,52.0,0,1,0,0,0
2006,,5.4,21.0,0,1,0,0,1
2012,16+,6.6,58.0,0,1,0,0,0
2018,7+,6.5,50.0,1,0,0,0,0
2003,,4.9,38.0,0,1,0,0,1
2018,16+,7.3,34.0,0,0,1,0,0
2021,,8.5,39.0,1,0,0,0,1
2019,,5.6,32.0,1,0,0,0,1
2015,,5.9,13.0,0,0,1,0,1
2014,,5.6,24.0,0,0,1,0,1
2012,,7.2,10.0,0,0,1,0,1
2019,all,8.0,36.0,1,0,0,0,0
2009,,2.3,24.0,1,0,0,0,1
2013,16+,5.6,32.0,0,0,1,0,0
2020,,6.6,32.0,0,1,0,0,1
2016,16+,8.3,65.0,1,0,0,0,0
2017,,7.7,31.0,0,0,1,0,1
1978,,6.6,59.0,0,1,0,0,1
2021,,7.9,58.0,1,0,0,0,1
2015,,7.6,40.0,0,1,0,0,1
2015,,9.1,67.0,1,0,0,0,1
2019,7+,6.9,66.0,0,1,0,0,0
2019,16+,7.4,60.0,1,0,0,0,0
2020,7+,6.5,44.0,1,0,0,0,0
2011,,6.9,40.0,1,0,0,0,1
2013,,8.2,45.0,0,0,1,0,1
1998,7+,6.5,53.0,0,0,1,0,0
2014,,7.4,10.0,0,0,1,0,1
2019,,8.1,51.0,1,0,0,0,1
2015,16+,7.4,67.0,1,0,0,0,0
2015,,6.8,51.0,0,0,1,0,1
2015,16+,6.8,32.0,0,1,0,0,0
2017,18+,8.4,72.0,1,0,0,0,0
2019,,7.7,63.0,1,0,0,0,1
2008,16+,8.0,64.0,0,1,1,0,0
2019,,7.1,35.0,1,0,0,0,1
2015,,8.3,13.0,0,1,1,0,1
2002,7+,8.3,60.0,1,0,0,0,0
1995,,7.0,16.0,0,0,1,0,1
2008,7+,8.2,56.0,1,0,0,0,0
2018,,6.9,10.0,0,0,1,0,1
2006,7+,6.5,72.0,0,1,0,0,0
2018,7+,6.6,36.0,1,0,0,0,0
2015,18+,7.8,67.0,0,1,0,0,0
2019,,8.3,62.0,1,0,0,0,1
2016,7+,6.9,52.0,1,0,0,0,0
2010,all,7.8,42.0,1,0,0,0,0
2013,all,5.3,52.0,1,0,0,0,0
2014,16+,8.4,45.0,0,1,0,0,0
2014,16+,6.4,49.0,0,0,1,0,0
2021,7+,9.2,76.0,0,0,1,0,0
2017,16+,6.2,62.0,0,1,0,0,0
2010,7+,7.4,45.0,0,1,0,0,0
2010,7+,8.3,65.0,0,0,0,1,0
2010,16+,8.0,64.0,1,1,0,0,0
2016,7+,6.5,35.0,0,0,1,0,0
2012,,6.8,10.0,0,0,1,0,1
2021,,7.6,69.0,1,0,0,0,1
2016,,7.9,10.0,0,0,1,0,1
2016,,7.4,41.0,1,0,1,0,1
2018,all,7.7,59.0,1,0,0,0,0
2015,16+,7.8,81.0,0,1,0,0,0
2015,,7.3,13.0,0,1,0,0,1
2017,16+,6.6,47.0,1,0,0,0,0
2011,,8.0,31.0,1,0,1,0,1
2016,,8.3,44.0,0,0,0,1,1
2018,,9.2,52.0,0,0,1,0,1
2020,18+,6.5,62.0,1,0,0,0,0
2020,18+,7.7,54.0,0,1,0,0,0
2016,,6.9,10.0,0,0,1,0,1
2015,16+,7.7,62.0,1,0,0,0,0
2001,16+,7.4,62.0,0,0,1,0,0
2001,7+,7.7,56.0,0,1,0,0,0
2018,16+,7.1,54.0,1,0,0,0,0
2010,,6.5,32.0,0,0,1,0,1
2020,all,6.9,47.0,1,0,0,0,0
2005,18+,4.8,42.0,0,1,0,0,0
2019,7+,6.1,49.0,0,0,0,1,0
2013,7+,4.3,48.0,0,1,0,0,0
2018,,7.3,38.0,1,0,0,0,1
2018,16+,7.5,80.0,1,0,0,0,0
2019,7+,5.5,62.0,1,0,0,0,0
2021,18+,5.8,58.0,1,0,0,0,0
2015,all,5.0,37.0,0,0,1,0,0
2020,all,5.3,51.0,1,0,0,0,0
2013,all,5.0,37.0,0,0,1,0,0
2021,7+,5.6,58.0,0,1,0,0,0
2016,18+,8.2,80.0,0,0,1,0,0
2009,7+,5.3,47.0,0,0,1,0,0
2017,,7.4,63.0,1,0,0,0,1
2012,7+,6.8,57.0,1,1,0,0,0
2008,16+,7.4,51.0,0,1,0,0,0
2015,7+,5.8,53.0,1,0,0,0,0
2012,16+,7.6,72.0,0,1,0,0,0
2017,,8.1,10.0,0,0,1,0,1
2017,all,7.0,53.0,0,0,0,1,0
2019,all,6.3,52.0,0,0,0,1,0
2010,16+,7.9,62.0,1,1,0,0,0
2020,18+,8.0,70.0,0,1,0,0,0
1981,7+,7.2,56.0,0,0,0,1,0
2020,16+,7.2,44.0,0,0,1,0,0
2017,,6.2,30.0,0,1,0,0,1
2008,,8.1,16.0,0,0,1,0,1
2016,,8.4,13.0,0,0,1,0,1
2018,all,7.5,62.0,1,0,0,0,0
2021,18+,7.3,72.0,0,0,1,0,0
2016,7+,8.2,69.0,0,0,1,0,0
2015,,7.9,38.0,0,0,1,0,1
2019,16+,5.1,46.0,0,0,1,0,0
2019,,8.2,51.0,1,0,0,0,1
2008,,7.9,38.0,0,0,1,0,1
2018,all,7.1,33.0,1,0,0,0,0
1991,all,4.1,36.0,0,0,1,0,0
2006,16+,7.4,49.0,0,1,0,0,0
2020,18+,7.3,70.0,1,0,1,0,0
2004,7+,7.5,79.0,0,1,0,0,0
2017,,4.4,32.0,1,0,0,0,1
2010,7+,7.3,31.0,0,1,0,0,0
2016,,7.6,45.0,1,0,0,0,1
2017,,8.1,10.0,0,0,1,0,1
2019,,6.8,14.0,0,1,0,0,1
2011,16+,7.4,50.0,0,0,1,0,0
1999,16+,7.8,49.0,0,0,1,0,0
2007,7+,7.2,61.0,1,0,0,0,0
2019,18+,5.3,44.0,1,0,0,0,0
2017,,5.9,30.0,0,0,1,0,1
1999,7+,8.2,77.0,0,0,1,0,0
2019,,8.1,20.0,0,0,1,0,1
1978,7+,7.2,70.0,0,1,0,0,0
2016,all,6.2,39.0,1,0,0,0,0
1990,,6.7,36.0,0,0,1,0,1
2016,,5.7,10.0,0,0,1,0,1
2005,7+,5.0,47.0,0,0,1,0,0
2019,,6.9,45.0,1,0,0,0,1
2016,7+,7.4,49.0,1,0,0,0,0
2017,,6.4,42.0,1,0,0,0,1
2012,18+,7.6,71.0,1,1,0,0,0
2020,18+,6.4,56.0,1,0,0,0,0
2018,18+,6.5,64.0,1,0,0,0,0
2007,,5.6,10.0,0,0,1,0,1
2015,16+,7.2,48.0,1,0,0,0,0
2020,16+,7.6,70.0,0,1,0,0,0
2014,,5.7,14.0,0,0,1,0,1
2017,18+,6.8,60.0,1,0,0,0,0
2020,16+,7.2,65.0,1,0,0,0,0
2018,16+,6.5,58.0,0,1,0,0,0
2012,,8.6,35.0,0,1,0,0,1
2018,18+,7.5,72.0,1,0,0,0,0
2018,all,7.2,43.0,1,0,0,0,0
2020,all,8.1,43.0,1,0,0,0,0
2020,,8.8,44.0,1,0,0,0,1
1979,,6.8,35.0,0,0,1,0,1
2017,,8.3,13.0,0,0,1,0,1
1999,,7.3,41.0,0,0,1,0,1
2009,,8.4,60.0,0,0,1,0,1
1983,18+,8.6,59.0,0,0,1,0,0
1998,16+,6.8,60.0,0,1,0,0,0
2018,,7.2,13.0,0,0,1,0,1
2012,,8.3,72.0,1,0,0,0,1
1998,all,5.9,50.0,1,0,0,0,0
2017,,6.8,46.0,0,0,0,1,1
2014,,7.4,23.0,0,1,0,0,1
2012,,5.8,34.0,0,0,1,0,1
2018,,6.3,19.0,0,0,1,0,1
2018,18+,7.0,66.0,1,0,0,0,0
2019,16+,7.4,45.0,0,1,0,0,0
2014,16+,7.0,51.0,0,1,0,0,0
2012,,8.2,43.0,0,0,1,0,1
2014,18+,8.0,47.0,0,0,1,0,0
2016,,6.7,10.0,0,1,0,0,1
2014,all,6.0,52.0,0,0,0,1,0
2020,,7.5,37.0,1,0,0,0,1
2019,18+,6.5,57.0,1,0,0,0,0
2012,16+,7.8,60.0,1,1,0,0,0
2003,18+,7.6,74.0,0,1,0,0,0
2018,7+,7.6,42.0,1,0,0,0,0
2017,18+,7.9,54.0,1,0,0,0,0
2018,18+,6.9,63.0,1,0,0,0,0
2011,7+,7.1,58.0,1,0,0,0,0
2020,18+,7.2,39.0,0,0,1,0,0
2012,16+,7.2,41.0,0,1,0,0,0
2009,,7.6,51.0,1,0,0,0,1
2015,16+,7.8,48.0,0,1,0,0,0
2018,16+,8.1,74.0,1,0,0,0,0
2014,16+,8.4,81.0,1,0,0,0,0
2009,16+,7.0,56.0,1,1,1,0,0
2020,16+,7.3,72.0,0,0,1,0,0
2017,,7.4,10.0,0,0,1,0,1
2017,,7.3,13.0,0,0,1,0,1
2013,16+,6.7,62.0,1,0,0,0,0
2012,all,6.3,43.0,0,1,0,0,0
2019,7+,7.6,48.0,1,0,0,0,0
2016,,6.1,35.0,0,0,1,0,1
2001,7+,7.4,60.0,0,1,1,0,0
2007,7+,8.0,42.0,0,0,1,0,0
2017,,7.8,36.0,0,1,0,0,1
2018,all,6.2,36.0,1,0,0,0,0
2017,,4.3,41.0,1,0,0,0,1
2016,all,6.7,36.0,1,0,0,0,0
2015,,7.6,10.0,0,0,1,0,1
2016,7+,7.0,63.0,1,0,0,0,0
2015,16+,7.2,49.0,0,0,1,0,0
2019,,5.2,16.0,0,0,1,0,1
1975,all,6.7,44.0,0,0,1,0,0
2019,7+,6.1,45.0,1,0,0,0,0
2016,,8.6,64.0,1,0,0,0,1
2016,7+,4.7,36.0,0,0,1,0,0
2016,16+,7.3,64.0,0,0,1,0,0
2007,all,5.7,48.0,0,0,0,1,0
1998,,7.2,45.0,0,0,1,0,1
2019,,6.8,52.0,1,0,0,0,1
2020,18+,8.6,92.0,1,0,0,0,0
1995,,6.2,18.0,0,1,0,0,1
2005,7+,1.8,43.0,0,1,0,0,0
2016,,7.4,10.0,0,0,1,0,1
2012,,6.9,10.0,0,0,1,0,1
2009,16+,7.7,86.0,1,0,0,0,0
2020,,6.0,47.0,1,0,0,0,1
2020,18+,8.3,82.0,0,1,0,0,0
2020,16+,7.4,70.0,1,0,0,0,0
2016,7+,4.0,37.0,0,0,0,1,0
2005,all,6.6,56.0,0,0,0,1,0
2014,7+,7.0,64.0,1,1,0,0,0
2019,,6.4,39.0,0,1,0,0,1
2011,16+,7.3,65.0,0,1,0,0,0
2016,all,7.6,38.0,0,0,0,1,0
2017,18+,7.2,53.0,1,0,0,0,0
1987,7+,8.2,61.0,1,1,1,0,0
2018,16+,7.4,40.0,1,0,0,0,0
1993,7+,8.0,80.0,1,1,1,0,0
2015,18+,8.0,74.0,1,0,0,0,0
2017,,6.2,43.0,0,0,1,0,1
2005,,5.9,46.0,0,1,0,0,1
2003,7+,5.5,61.0,1,1,1,0,0
2011,,7.1,10.0,0,0,1,0,1
1993,,6.8,31.0,0,0,1,0,1
2020,,3.2,30.0,1,0,0,0,1
2021,7+,8.3,60.0,1,0,0,0,0
2018,18+,7.1,45.0,1,0,0,0,0
2012,16+,7.1,53.0,0,1,0,0,0
2017,7+,6.0,52.0,0,0,1,0,0
2012,,7.4,28.0,0,0,1,0,1
2009,16+,8.0,81.0,0,1,0,0,0
2018,7+,5.7,46.0,1,0,0,0,0
2021,18+,7.1,62.0,1,0,0,0,0
2013,16+,4.6,49.0,1,1,0,0,0
2010,7+,8.6,86.0,0,1,0,0,0
2018,18+,7.0,67.0,1,0,0,0,0
2020,7+,7.0,47.0,1,0,0,0,0
2018,all,5.9,48.0,1,0,0,0,0
2021,,6.6,45.0,1,0,0,0,1
2019,18+,7.0,69.0,0,1,0,0,0
2016,all,7.6,26.0,0,0,1,0,0
2019,18+,6.2,46.0,0,1,0,0,0
2016,16+,6.8,58.0,0,1,0,0,0
2016,,5.8,42.0,1,0,0,0,1
2018,,9.0,17.0,0,1,1,0,1
2017,16+,7.4,43.0,0,0,0,1,0
1998,7+,5.8,53.0,0,1,0,0,0
2018,16+,7.1,60.0,1,0,0,0,0
2008,all,6.3,56.0,0,1,0,0,0
2009,7+,5.8,38.0,0,1,0,0,0
2001,7+,7.0,61.0,0,0,1,0,0
2016,,7.2,17.0,0,0,1,0,1
