Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2005,18+,6.5,41.0,0,1,0,0,0
2013,,7.4,10.0,0,0,1,0,1
2011,18+,7.1,51.0,0,1,0,0,0
2019,7+,7.0,44.0,1,0,1,0,0
2013,16+,7.0,45.0,0,1,0,0,0
2017,18+,8.3,44.0,0,0,1,0,0
2015,,6.3,35.0,1,0,0,0,1
2018,,6.3,57.0,0,1,0,0,1
2021,16+,8.3,64.0,0,1,0,0,0
2018,16+,8.2,61.0,1,0,0,0,0
2018,18+,5.9,49.0,1,0,0,0,0
2018,,7.7,35.0,0,0,1,0,1
2020,7+,6.8,56.0,1,0,0,0,0
2011,7+,5.3,44.0,0,1,0,0,0
2011,,7.3,18.0,0,1,0,0,1
2018,,7.9,30.0,0,0,0,1,1
2012,16+,8.1,46.0,0,1,0,0,0
2016,18+,7.5,58.0,0,1,0,0,0
2020,,6.2,47.0,1,0,0,0,1
2014,all,6.2,54.0,0,0,1,0,0
2015,18+,7.8,69.0,0,1,0,0,0
2009,7+,7.6,73.0,0,1,0,0,0
2012,7+,5.1,39.0,0,0,1,0,0
1998,16+,7.9,57.0,0,1,0,0,0
2017,,7.8,14.0,0,0,1,0,1
2020,18+,7.5,77.0,1,0,0,0,0
2019,,7.8,48.0,1,0,0,0,1
2013,7+,5.7,59.0,1,0,0,0,0
2012,16+,8.4,78.0,1,0,0,0,0
2015,,6.3,24.0,0,0,1,0,1
2018,16+,6.2,59.0,0,0,1,0,0
2018,16+,7.2,55.0,1,0,0,0,0
2017,,7.8,13.0,0,0,1,0,1
2015,all,5.4,56.0,1,0,0,0,0
2016,16+,8.4,57.0,1,0,0,0,0
1966,7+,7.2,38.0,0,0,1,0,0
2018,18+,8.8,63.0,1,0,0,0,0
2017,7+,7.4,55.0,1,0,0,0,0
2015,,5.1,28.0,1,0,0,0,1
2000,16+,7.6,74.0,0,1,0,0,0
2005,18+,8.3,77.0,0,0,1,0,0
2012,all,5.6,42.0,0,1,0,0,0
2012,,8.1,10.0,0,0,1,0,1
2011,,7.5,34.0,0,1,0,0,1
2020,,4.2,19.0,0,1,0,0,1
2000,,6.7,13.0,0,1,0,0,1
2017,16+,8.4,63.0,1,0,0,0,0
2021,16+,6.5,66.0,0,0,0,1,0
2020,,6.8,31.0,0,0,1,0,1
2009,,8.1,37.0,0,0,1,0,1
2019,7+,6.0,37.0,1,0,0,0,0
2018,7+,7.5,50.0,1,0,0,0,0
1934,all,8.6,62.0,0,1,0,0,0
2012,,6.2,22.0,0,1,0,0,1
2017,,8.9,14.0,0,0,1,0,1
2020,all,5.7,44.0,1,0,0,0,0
2016,18+,8.6,84.0,0,1,0,0,0
2016,,7.3,17.0,0,0,1,0,1
2016,,6.5,40.0,0,0,1,0,1
2005,all,7.1,54.0,0,1,0,0,0
2014,18+,8.0,77.0,1,0,1,0,0
2013,all,5.3,42.0,0,0,0,1,0
2014,18+,7.9,78.0,0,0,1,0,0
2020,16+,7.2,49.0,0,0,1,0,0
2012,all,6.6,45.0,1,0,0,0,0
2019,16+,6.3,50.0,1,0,0,0,0
2019,16+,6.6,52.0,1,0,0,0,0
