Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
4,7.7,60.0,1,0,0,0
18,6.2,52.0,0,1,0,0
6,4.2,10.0,0,0,1,0
42,8.1,64.0,0,1,0,0
8,7.7,56.0,0,0,1,0
5,7.6,52.0,0,1,1,0
7,3.7,36.0,1,0,0,0
3,6.8,50.0,1,0,0,0
7,6.5,38.0,1,0,0,0
6,6.7,27.0,0,0,1,0
8,6.2,13.0,0,0,1,0
8,8.3,83.0,1,0,0,0
9,8.9,10.0,0,0,1,0
5,7.3,29.0,0,1,0,0
44,5.8,44.0,0,0,0,1
9,8.6,55.0,1,0,0,0
7,7.0,35.0,1,0,0,0
5,7.7,85.0,1,0,0,0
6,6.5,63.0,0,1,0,0
9,6.4,59.0,0,1,0,0
17,7.7,56.0,0,1,0,0
8,7.7,72.0,1,0,0,0
8,7.0,39.0,0,1,0,0
7,7.9,13.0,0,0,1,0
9,7.7,33.0,0,0,1,0
3,6.1,57.0,0,0,1,0
3,7.8,47.0,1,0,0,0
7,7.7,13.0,0,0,1,0
6,7.6,70.0,1,0,0,0
7,6.5,45.0,0,1,0,0
62,8.3,63.0,0,1,0,0
7,3.3,32.0,1,0,0,0
4,5.9,42.0,0,1,0,0
14,5.5,38.0,0,0,1,0
17,5.2,61.0,0,0,0,1
6,6.8,63.0,1,0,0,0
5,8.1,52.0,1,0,0,0
3,3.9,36.0,0,0,1,0
7,6.1,28.0,0,0,1,0
9,7.7,17.0,0,0,1,0
6,6.2,18.0,0,1,0,0
6,7.9,13.0,0,0,1,0
2,8.5,66.0,1,0,0,0
2,9.1,65.0,1,0,0,0
4,8.0,87.0,1,0,0,0
6,6.4,13.0,0,0,1,0
12,7.6,50.0,0,1,0,0
9,8.6,49.0,0,1,0,0
13,4.8,51.0,0,0,0,1
11,6.6,59.0,0,0,0,1
27,8.2,14.0,0,0,1,0
7,7.8,39.0,0,0,1,0
2,7.0,60.0,1,0,0,0
13,5.2,26.0,0,0,1,0
6,8.1,13.0,0,0,1,0
5,7.1,67.0,0,1,0,0
13,6.9,42.0,1,0,0,0
7,7.6,46.0,1,0,0,0
2,6.7,50.0,0,0,1,0
3,7.6,55.0,0,0,1,0
4,6.5,44.0,1,0,0,0
12,7.8,47.0,0,0,1,0
6,7.8,39.0,1,0,0,0
9,6.6,58.0,0,1,0,0
17,6.4,46.0,0,1,0,0
41,7.2,64.0,0,1,0,0
15,7.1,54.0,0,0,0,1
5,5.9,45.0,1,0,0,0
6,8.4,10.0,0,0,1,0
24,4.2,47.0,0,1,0,0
3,8.7,48.0,0,1,0,0
14,1.8,42.0,0,1,0,0
6,8.0,58.0,1,0,0,0
14,7.5,53.0,1,0,0,0
26,8.4,79.0,1,1,0,0
4,6.8,60.0,0,1,0,0
12,6.5,14.0,0,0,1,0
7,8.4,90.0,0,1,0,0
10,6.5,33.0,1,0,0,0
19,7.6,53.0,0,0,1,0
7,7.5,77.0,1,0,0,0
7,6.6,54.0,0,0,1,0
3,7.5,62.0,1,0,0,0
11,5.0,47.0,0,0,0,1
14,6.7,10.0,0,0,1,0
3,5.4,43.0,1,0,0,0
7,5.5,10.0,0,0,1,0
4,8.5,71.0,1,0,0,0
7,7.2,58.0,0,1,0,0
5,7.2,56.0,1,0,0,0
21,7.5,31.0,1,0,0,0
11,7.5,55.0,0,1,0,0
7,7.2,10.0,0,0,1,0
2,7.2,54.0,1,0,0,0
4,8.2,46.0,0,0,0,1
6,5.6,47.0,0,1,0,0
18,5.1,41.0,0,0,1,0
15,7.4,57.0,0,1,0,0
7,7.9,55.0,1,0,0,0
6,7.3,44.0,1,0,0,0
12,7.9,37.0,0,0,1,0
2,7.5,63.0,0,0,0,1
17,7.2,64.0,1,1,0,0
5,9.1,66.0,1,0,0,0
32,7.4,68.0,0,1,0,0
8,8.2,36.0,1,0,0,0
5,6.8,43.0,1,0,0,0
8,7.3,47.0,0,1,0,0
19,8.0,58.0,0,0,0,1
6,6.6,47.0,1,0,0,0
4,6.6,40.0,1,0,0,0
6,8.1,19.0,0,0,1,0
26,8.2,86.0,0,1,1,0
7,8.0,52.0,0,0,1,0
5,7.0,46.0,1,0,0,0
4,7.9,56.0,1,0,0,0
5,8.2,52.0,0,0,1,0
2,7.1,48.0,0,0,0,1
6,7.0,14.0,0,0,1,0
23,8.6,17.0,0,0,1,0
5,6.6,58.0,0,1,0,0
5,6.8,42.0,1,0,0,0
25,6.6,57.0,0,0,0,1
19,5.5,41.0,0,1,0,0
4,8.4,77.0,1,0,0,0
6,7.7,74.0,0,1,0,0
5,7.0,51.0,1,0,0,0
2,7.7,53.0,0,1,0,0
9,6.5,32.0,0,0,1,0
10,7.8,65.0,0,1,0,0
5,8.3,14.0,0,1,0,0
4,6.7,69.0,1,0,0,0
10,8.0,88.0,1,0,0,0
21,7.4,35.0,0,0,1,0
17,7.0,57.0,0,1,0,0
8,4.9,36.0,0,0,1,0
