Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
0.0689655172413793,0.6410256410256411,0.0,0,0,1,0
0.0229885057471264,0.8846153846153846,0.6265060240963856,1,0,0,0
0.0459770114942528,0.6153846153846154,0.036144578313253,0,0,1,0
0.0689655172413793,0.8846153846153846,0.0,0,1,0,0
0.0344827586206896,0.6923076923076924,0.6265060240963856,1,0,0,0
0.0344827586206896,0.5384615384615385,0.0,0,0,1,0
0.0229885057471264,0.4487179487179487,0.2891566265060241,1,0,0,0
0.0919540229885057,0.7692307692307692,0.3253012048192771,0,0,1,0
0.3218390804597701,0.7692307692307692,0.6867469879518073,0,1,0,0
0.0114942528735632,0.5641025641025642,0.4457831325301205,1,0,0,0
0.0459770114942528,0.4358974358974359,0.2891566265060241,0,0,1,0
0.0459770114942528,0.653846153846154,0.3975903614457831,1,0,0,0
0.0689655172413793,0.6410256410256411,0.3855421686746988,1,0,0,0
0.0344827586206896,0.6282051282051283,0.4578313253012049,1,0,0,0
0.2068965517241379,0.4102564102564102,0.3253012048192771,0,0,1,0
0.0804597701149425,0.8076923076923077,0.7951807228915664,0,1,0,0
0.0689655172413793,0.8717948717948718,0.9638554216867472,1,0,0,0
0.0114942528735632,0.6282051282051283,0.5060240963855422,1,0,0,0
0.2183908045977011,0.2948717948717948,0.5301204819277108,0,1,0,0
0.0344827586206896,0.8333333333333335,0.4457831325301205,0,0,1,0
0.0459770114942528,0.6282051282051283,0.3253012048192771,1,0,0,0
0.0804597701149425,0.8974358974358976,0.0,0,0,1,0
0.0344827586206896,0.7435897435897436,0.3734939759036145,1,0,0,0
0.0114942528735632,0.6410256410256411,0.6867469879518073,0,1,0,0
0.0804597701149425,0.7820512820512822,0.6626506024096386,0,1,0,0
0.2873563218390804,0.8205128205128205,0.4216867469879519,0,0,1,0
0.0114942528735632,0.7307692307692308,0.4819277108433735,1,0,0,0
0.0,0.5897435897435899,0.5662650602409638,1,0,0,0
0.057471264367816,0.5641025641025642,0.6746987951807228,1,0,0,0
0.0804597701149425,0.2435897435897436,0.108433734939759,0,1,0,0
0.0229885057471264,0.7435897435897436,0.5060240963855422,1,0,0,0
0.0114942528735632,0.0897435897435897,0.3012048192771084,1,0,0,0
0.0919540229885057,0.8461538461538463,0.3855421686746988,0,1,0,0
0.0229885057471264,0.7435897435897436,0.6626506024096386,1,0,0,0
0.0804597701149425,0.8717948717948718,0.7108433734939759,0,0,1,0
0.0804597701149425,0.3974358974358974,0.2891566265060241,1,0,0,0
0.0344827586206896,0.6794871794871795,0.3373493975903615,0,0,1,0
0.0114942528735632,0.6666666666666667,0.6385542168674698,0,1,0,0
0.0114942528735632,0.7435897435897436,0.5542168674698795,1,0,0,0
0.0344827586206896,0.5897435897435899,0.0,0,0,1,0
0.0459770114942528,0.8846153846153846,0.0,0,0,1,0
0.1724137931034482,0.6666666666666667,0.6385542168674698,0,1,0,0
0.0344827586206896,0.6923076923076924,0.5301204819277108,0,1,0,0
0.0459770114942528,0.6410256410256411,0.072289156626506,0,0,1,0
0.0689655172413793,0.7564102564102565,0.5421686746987953,0,0,1,0
0.0459770114942528,0.7179487179487181,0.4337349397590361,0,1,0,0
0.0229885057471264,0.7307692307692308,0.4457831325301205,1,0,0,0
